"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
Misc,,"Needle not lining up with hole.  Fixed.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Misc,Philips,"Shaver. Needs deep cleaning.  Fixed and working.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Handheld entertainment device",,"Not working.  Unable to fix.","End of life",No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Misc,,"Wire melted in plug.  Trimmed and reattached.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Lamp,,"Shorting, melted.  Needs new switch.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Laptop medium",,"Infected.  Crap deleted.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Kettle,,"New , stopped working.  Fixed loose connection.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Vacuum,Henry,"Not hoovering.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Laptop medium",Toshiba,"Screen not working.  Knows what to do.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Hi-Fi separates",,"Not working.  Software issue, now knows what to do.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Laptop medium",Apple,"Graphics not working.  Other options suggested.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Laptop medium",Apple,"Not working.  Other options suggested.",Repairable,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Misc,Powerplus,"Solar/wind-up torch - stopped working, No way to open it to check batteries without fully destroying the product.","End of life",No,"Stamford Hill Library","Hackney Fixers",2019-03-24
Kettle,,"Leaking and dangerous.","End of life",No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Laptop medium",,"Operating system key code not accepted.  Got recovery key form Microsoft servers.",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Laptop medium",,"Not updating",Fixed,No,"Stamford Hill Library","Hackney Fixers",2019-03-24
"Laptop medium",HP,"Screen hinge broken, not booting up.  Screen not repairable, showed how to copy data from the hard drive.","End of life",No,"Stamford Hill Library","Hackney Fixers",2019-03-24
